C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
FENCING,UNKNOWN,DIS DURACOLOR 8' TREATED RAIL ROUND,1001220436,021-008-018-EVENTS,021-008-018,21-LUMBER,87.0,0.0
LANDSCAPE,UNKNOWN,"6""X6"" VERONA PYRAMID POST CAP",126012,021-007-006-SPECIALTY,021-007-006,21-LUMBER,7024.0,
FENCING,126111,ADJUSTABLE VINYL FENCE POST BASE TRI,1000342456,021-008-002-REDWOOD PICKETS,021-008-002,21-LUMBER,2081.0,0.0
FENCING,128017,4'X8' LAFAYETTE SPACED PICKET KIT,1000342466,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,946.0,0.0
BOARDS,UNKNOWN,UFP_S/O_21-5-62_UTILITYBOARDS,1000247217,021-005-062-UTILITY BOARDS,021-005-062,21-LUMBER,45647.0,1.0
FENCING,161665,2-HOLE WRC COLOR-TREATED CORNER POST,1000000911,021-008-012-POST/RAIL,021-008-012,21-LUMBER,443.0,0.0
STUDS,UNKNOWN,"2X4-96"" KD YELLOW PINE STUD",232971,021-006-002-8FT STUDS,021-006-002,21-LUMBER,8678.0,565.0
PRESSURE TREATED/DECKING,102571,6X6-14FT #2 PT GC,1003244016,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,121.0,25.0
BOARDS,UNKNOWN,1X3-R/L OAK BOARD,617318,021-005-010-HARDWOOD,021-005-010,21-LUMBER,34447.24999999999,
FENCING,144205,DOVER WHITE VINYL GATE KIT,560588,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,21651.0,2163.0
FENCING,UNKNOWN,"6'X8' SPF 4"" GOTHIC FENCE PANEL",122351,021-008-011-WHITEWOOD PANELS,021-008-011,21-LUMBER,27601.0,448.0
LANDSCAPE,552531,"1X1-48"" GRADE STAKE",552531,021-007-004-STAKES,021-007-004,21-LUMBER,387470.5,7725.0
FENCING,UNKNOWN,DIS MICROSHADE EURO TOP,1001195566,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,1X8-8FT PT WEATHERSHIELD,131334,021-020-006-PT BOARDS,021-020-006,21-LUMBER,20127.0,
PRESSURE TREATED/DECKING,UNKNOWN,1X6-10FT PT WEATHERSHIELD,439620,021-020-006-PT BOARDS,021-020-006,21-LUMBER,144495.0,1350.0
BOARDS,UNKNOWN,1X2-R/L POPLAR BOARD,467551,021-005-010-HARDWOOD,021-005-010,21-LUMBER,129945.24000000008,4334.110000000001
FENCING,144730,DIS 4'X8' WOODBRIDGE PRIVACY PANEL,1001643817,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,-18.0,18.0
PRESSURE TREATED/DECKING,UNKNOWN,15/32 IN. 4X8 CCX GC PLYWOOD,1001771158,021-020-007-PT PLYWOOD,021-020-007,21-LUMBER,472984.0,6615.0
PLYWOOD,UNKNOWN,1/2 2X4 CORK BOARD,1000030343,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,6321.0,
CONCRETE,UNKNOWN,328' 16GA REBAR TIE WIRE,572365,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,122793.0,2684.0
CONCRETE,UNKNOWN,36IN FLAT STEEL STAKE,545231,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,104982.0,5718.0
LANDSCAPE,UNKNOWN,"2X3-30.5"" PT CONTOUR BALUSTER",1000043114,021-007-006-SPECIALTY,021-007-006,21-LUMBER,79.0,0.0
PRESSURE TREATED/DECKING,253866,2X4-8FT #1 PRIME PT GC,1002363881,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,22681.0,67.0
FENCING,73013298,6'X8' LINDEN PRO WHT PRIVACY PNL KIT,613633,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,67577.0,4745.0
BOARDS,UNKNOWN,"12"" CHROME SLATWALL HOOK",301681,021-005-020-SPECIALTY,021-005-020,21-LUMBER,11928.0,430.0
PRESSURE TREATED/DECKING,UNKNOWN,"3/8"" 4'X8' PT T1-11",273144,021-020-007-PT PLYWOOD,021-020-007,21-LUMBER,58088.0,908.0
FENCING,UNKNOWN,4X4-7FT PT PINE 3-HOLE END POST,862913,021-008-012-POST/RAIL,021-008-012,21-LUMBER,41078.0,1534.0
LANDSCAPE,188174,6' PT CDR-TN PT SOLID LIGHTNING RAIL,1000043815,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1920.0,0.0
PLYWOOD,UNKNOWN,3/16 2X3 MARKER BOARD,1000019366,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,452.0,0.0
FENCING,118675,"4""X4""-74"" LAFAYETTE ROUTED LINE POST",324351,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,
FENCING,UNKNOWN,"DIS 5""X5""X84""WHT VNL 3-RAIL LINE PST",1001298325,021-008-018-EVENTS,021-008-018,21-LUMBER,2.0,0.0
FENCING,153574,PRO SERIES 6 FT. X 8 FT. VINYL ANAHE,1000344801,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1.0,
FENCING,208683,5/8 IN. X 3-1/2 IN. X 6 FT. MOULDED,1001856027,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,394.0,
FENCING,UNKNOWN,UFP S/O 21-8-62 FENCING,1004718897,021-008-062-S/O WOOD FENCE OTHER,021-008-062,21-LUMBER,53866.75,
LANDSCAPE,158703,4 IN. X 4 IN. STAINLESS PINE SOLAR P,1001862938,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1005.0,
LANDSCAPE,235965,BLACK ADA 6 IN. INSIDE CORNER HAND R,1002802409,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,54.0,
LANDSCAPE,152092,STARBORN IPE WOOD PRO PLUG #8 2-1/2,1003550552,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2.0,
BOARDS,263243,1 IN. X 6 IN. X 6 FT. BARN WOOD WHIT,1002063923,021-005-010-HARDWOOD,021-005-010,21-LUMBER,7274.0,
FENCING,153683,PRO SERIES 6 FT. X 5 FT. ANAHEIM PRI,1000345349,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,4.0,
FENCING,UNKNOWN,"5""X5"" VERANDA WHT VNL GOTH POST TOP",1000342449,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,1058.0,0.0
LANDSCAPE,UNKNOWN,6 STEP PT STAIR STRINGER,1000340526,021-007-006-SPECIALTY,021-007-006,21-LUMBER,7421.0,0.0
FENCING,UNKNOWN,4X4-5FT FRENCH GOTHIC FENCE POST,556270,021-008-012-POST/RAIL,021-008-012,21-LUMBER,254426.0,9955.0
BOARDS,244414,"5/8""X1-3/8""-47-7/8"" ROOF STRIP 12 PC",1001660536,021-005-011-FURRING,021-005-011,21-LUMBER,208243.5,12742.0
PRESSURE TREATED/DECKING,158177,5 IN. X 5 IN. VINYL ANAHEIM PATIO WH,1000347694,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,117.0,0.0
PRESSURE TREATED/DECKING,177039,PRESSURE-TREATED 6 FT. ALUMINUM SOUT,1000347942,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,12461.0,0.0
DIMENSIONAL LUMBER,151683,OFFICIAL ACA SIZED ROYAL BLUE CORN-F,1000337292,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,249.0,0.0
FENCING,UNKNOWN,DISP 4'X8' TRTD DE SPCD PKT 1X4,1001088139,021-008-018-EVENTS,021-008-018,21-LUMBER,31.0,0.0
ENGINEERED WOOD PRODUCTS,UNKNOWN,194-660 S/O ENGINEERED LMBR,194660,021-017-060-S/O ENGINEERED WOOD PROD,021-017-060,21-LUMBER,,0.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-8FT PREM PT WEATHERSHIELD,168768,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,3358770.0,18682.0
LANDSCAPE,211691,4-STEP PRESSURE-TREATED CEDAR-TONE P,1001252462,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2438.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X12-12FT #2 PT GC,1001786869,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,185863.06,5113.0
BOARDS,UNKNOWN,1X6-8FT S1E PT CORRAL BOARD,205588,021-005-011-FURRING,021-005-011,21-LUMBER,114931.0,2108.0
PRESSURE TREATED/DECKING,106259,3X10-20FT #2 PT GC,1004018258,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,220.0,46.0
FENCING,369130,4.5'X4' WHITE VINYL PRIV CNR PNL KIT,1004219939,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,86.0,4.0
PLYWOOD,787914,5/8 2X4 OKOUME VIROLA PLYWOOD,787914,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,17922.0,451.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-8FT STD PT WEATHERSHIELD,129093,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,3403611.0,21304.0
BOARDS,UNKNOWN,5/4X4-12FT PRMD S1S2E BOARD,106934,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,2480.0,71.0
FENCING,169109,1-1/2 IN. X 5-1/2 IN. X 8 FT. VINYL,1000099906,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,-1.0,0.0
FENCING,405798,6'X8' STAINED FLAT TOP WHT WOOD PNL,1005589483,021-008-011-WHITEWOOD PANELS,021-008-011,21-LUMBER,1313.0,18.0
FENCING,UNKNOWN,2X8X12 ROUGH WRC PRE-STAINED RAIL,728999,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,7271.0,266.0
FENCING,UNKNOWN,"2-1/2""X2-1/2""X6' PINE FENCE POST",373766,021-008-012-POST/RAIL,021-008-012,21-LUMBER,36033.0,1352.0
BOARDS,UNKNOWN,"1X4 - 39"" COMMON BOARD / BED SLAT",1001749849,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,1692339.0,182810.0
COMPOSITION,UNKNOWN,"1/4"" 4'X8' WHT VINYL PANEL",174278,021-004-003-HARDBOARD,021-004-003,21-LUMBER,57030.0,7098.0
FENCING,UNKNOWN,8' WESTERN RED CEDAR SPLIT RAIL,441244,021-008-012-POST/RAIL,021-008-012,21-LUMBER,84153.0,2771.0
PRESSURE TREATED/DECKING,UNKNOWN,4X6-10FT #2 PT GC_CS,600960,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,2870.0,124.0
LANDSCAPE,76809,3/4 IN. X 32 IN. BRONZE ALUMINUM ROU,1001088838,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2854.0,0.0
PRESSURE TREATED/DECKING,126919,18 IN. SQUARE TIFFANY JADE MISSION G,1000348048,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,
HOME & MOBILE ELECTRONIC,289309,WHITE WIRELESS PLUG-IN DOOR CHIME RE,1002427055,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,50.0,
PRESSURE TREATED/DECKING,407695,2 IN. X 4 IN. X 4 FT. PREMIUM GROUND,1005166938,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,684.0,
LANDSCAPE,222602,0.2 IN. X 48 IN. X 8 FT. BLACK PRIVA,1001798542,021-007-002-LATTICE,021-007-002,21-LUMBER,21386.0,
PLYWOOD,225451,BIRCH PLYWOOD (COMMON: 3/4 IN. X 2 F,1001385759,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,538.0,
FENCING,200351,5 IN. X 5 IN. X 8 FT. VINYL WHITE RA,1002765226,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,362.0,
LANDSCAPE,132305,4 IN. X 4 IN. VINYL SOLAR LIGHT HARV,1000244325,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,98.0,
BOARDS,438057,1 IN. X 2 IN. X 2 FT. SPF PREMIUM SA,1005911469,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,6.0,
LANDSCAPE,144298,5 IN. X 5 IN. VINYL BLACK STYLEPOINT,1000244191,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,78.0,
FENCING,153833,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344889,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,3.0,
PRESSURE TREATED/DECKING,UNKNOWN,1-5/32X6-12FT THICK PT WEATHERSHLD,347391,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,961406.51,23566.0
PRESSURE TREATED/DECKING,342788,1X6-4 APP GRADE WW AG BROWN STAIN PT,1003364829,021-020-006-PT BOARDS,021-020-006,21-LUMBER,85335.0,20256.0
BOARDS,UNKNOWN,1X6-16FT PREM T&G BOARD,169906,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,41402.5,1719.0
FENCING,UNKNOWN,"11/16""X3-1/2""X42"" PT PINE FR GTH PKT",185686,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,364652.0,38955.0
LANDSCAPE,SP 6046,"7/16"" 2'X8' FRAMED CEDAR LATTICE",335025,021-007-002-LATTICE,021-007-002,21-LUMBER,20331.0,511.0
DIMENSIONAL LUMBER,1033-16,4X4-16FT #2 SYP,1000050316,021-003-004-TIMBERS,021-003-004,21-LUMBER,72.0,0.0
FENCING,UNKNOWN,"6'X8' CEDAR DOWELED FT PNL W/4"" PKT",1001684251,021-008-009-WRC PANELS,021-008-009,21-LUMBER,2157.0,11.0
PRESSURE TREATED/DECKING,UNKNOWN,2X10X8 #2 PT GC,1001786863,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,353624.0,6244.0
PRESSURE TREATED/DECKING,UNKNOWN,2X10-10FT #1 PT,360844,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,29166.0,
BOARDS,401549,"1"" X 8"" X 8' RUSTIC BEECH BOARD",1005198185,021-005-010-HARDWOOD,021-005-010,21-LUMBER,690.9200000000001,15.0
FENCING,245316,"5""X5""X9' ROUTED PRO CRNR POST",1001676869,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,10208.0,1547.0
LANDSCAPE,UNKNOWN,"1-1/2"" VERANDA WALNUT LATTICE SCREWS",782608,021-007-002-LATTICE,021-007-002,21-LUMBER,6742.0,1683.0
FENCING,135040,1-1/2 IN. X 5-1/2 IN. X 8 FT. VINYL,1000099859,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,78600.0,0.0
PLYWOOD,UNKNOWN,1/8 2X4 MEDIUM DENSITY FIBERBOARD,796762,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,5594.0,
LANDSCAPE,125894,32 DEGREE WHITE HANDRAIL STAIR ELBOW,1000340481,021-007-006-SPECIALTY,021-007-006,21-LUMBER,68.0,0.0
FENCING,UNKNOWN,"6'X8'  CEDAR 6"" DOGEAR FENCE PANEL",559087,021-008-009-WRC PANELS,021-008-009,21-LUMBER,79261.0,2158.0
LANDSCAPE,217876,2X4X6' PT CEDAR-TN ROUTED RAILING,1001309188,021-007-006-SPECIALTY,021-007-006,21-LUMBER,22628.0,2319.0
PLYWOOD,UNKNOWN,3/4 4X8 ABX MARINE PLYWOOD,726540,021-001-007-SPECIALTY,021-001-007,21-LUMBER,234.0,56.0
PNEUMATIC FASTENERS,UNKNOWN,"3-1/4""X.131 16D BLK NAILS 2M",978064,025-012-008-FRAMING NAILS,025-012-008,25-HARDWARE,856.0,0.0
FENCING,UNKNOWN,DIS PREM MICROSHADES DOG EAR PKT,1001219875,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,0.0
FENCING,UNKNOWN,231-568 S/O WOOD FENCING - UFP,231568,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,124.0,2640.0
PRESSURE TREATED/DECKING,UNKNOWN,2X12-10FT #2PRIME & BTR PT CDR-TN GC,1001802064,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,142264.0,5065.0
PRESSURE TREATED/DECKING,UNKNOWN,4X4-12FT #2 PT CEDAR-TONE GC,1000004800,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,237672.0,10156.0
DIMENSIONAL LUMBER,433429,2X8-4FT PRE-CUT LUMBER,1005880697,021-003-013-SHORT LUMBER,021-003-013,21-LUMBER,2064.0,2072.0
PLYWOOD,UNKNOWN,1/2 4X4 MEDIUM DENSITY FIBERBOARD,1001215927,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,23150.0,0.0
HOME & MOBILE ELECTRONIC,245836,WHT WIRED DOOR CHIME KIT W/PUSHBTNS,1000504531,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,846.0,0.0
PRESSURE TREATED/DECKING,253904,2X6-12FT #1 RED PT GC WEATHERSHLD,1001802262,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,765245.0,8473.0
FENCING,UNKNOWN,4X4-12FT RGH GRN WESTERN RED CEDAR,395073,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,439.0,34.0
PRESSURE TREATED/DECKING,189300,4 IN. X 4 IN. WOOD FLAT FANCY POST C,1000348113,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,3261.0,0.0
PRESSURE TREATED/DECKING,107981,2X2-8FT RED PT #1 WEATHERSHIELD,384090,021-020-006-PT BOARDS,021-020-006,21-LUMBER,425781.0,11541.0
DIMENSIONAL LUMBER,UNKNOWN,2X4-12FT #2 KD SYP,689165,021-003-002-NARROW,021-003-002,21-LUMBER,126111.0,5197.0
FENCING,144702,BLACK GATE STOP WITH HANDLE COMBO,1000342002,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,78.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X12-8FT #2 PT CEDAR-TONE,1000004792,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,39356.0,0.0
BOARDS,349778,1 IN. X 6 IN. X 8 FT. TIMELESS FARMH,1003912123,021-005-010-HARDWOOD,021-005-010,21-LUMBER,2040.0,
HARDSCAPES,204920,10 IN. X 8 IN. X 5 IN. FIBERLITE IMI,1001687402,028-028-005-LANDSCAPE ROCK,028-028-005,28-SEASONAL/GARDEN,692.0,
PLYWOOD,438065,1/4 IN. X 12 IN. BIRCH CIRCLE,1005911582,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,309.0,
BOARDS,421655,1 IN. X 4 IN. X 8 FT. S4S RUSTIC BEE,1005552623,021-005-010-HARDWOOD,021-005-010,21-LUMBER,16.0,
FENCING,UNKNOWN,DIS 6'X8' PT SHADOWBOX PANEL,1001209786,021-008-018-EVENTS,021-008-018,21-LUMBER,4.0,
BOARDS,263274,1 IN. X 4 IN. X 8 FT. BARN WOOD DARK,1002064032,021-005-010-HARDWOOD,021-005-010,21-LUMBER,2389.0,
HOME & MOBILE ELECTRONIC,289314,WHITE 85 DB WIRELESS PLUG-IN DOOR BE,1002427070,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,6.0,
FENCING,153592,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345279,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,8.0,
BOARDS,327172,1 IN. X 3 IN. X 3.4 FT. RECLAIMED PA,1003063302,021-005-010-HARDWOOD,021-005-010,21-LUMBER,698.0,
PRESSURE TREATED/DECKING,UNKNOWN,UFP S/O_IP_21-20-60_PT LMBR_B,1000019340,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,16.0,
FENCING,UNKNOWN,"6'X8' PT PINE 4"" DE PANEL 2X4 BACKER",641184,021-008-005-PRESSURE TREATED PANELS,021-008-005,21-LUMBER,416008.0,8962.0
LANDSCAPE,UNKNOWN,4X8 VERANDA WOODLAND GRN LATTICE CAP,377348,021-007-002-LATTICE,021-007-002,21-LUMBER,2588.0,296.0
FENCING,138648,PRO SERIES 8 FT. X 8 FT. VINYL HAYWA,1000341967,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,270.0,0.0
BOARDS,UNKNOWN,7/8X6-12FT KD CEDAR BOARD,500622,021-005-005-CEDAR,021-005-005,21-LUMBER,2311.0,14.0
BOARDS,UNKNOWN,1X4-12FT RESAWN TRIM BOARD,719833,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,84849.0,1228.0
FENCING,144718,PRO SERIES 6 FT. X 4 FT. WOODBRIDGE,1000341988,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,34.0,0.0
PRESSURE TREATED/DECKING,167909,"19/32"" 4X8 PT RTD SHEATHING PLY GC",1001790448,021-020-007-PT PLYWOOD,021-020-007,21-LUMBER,149860.0,1972.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-16FT #2 PRIME PT CDR-TNE WHRSHLD,1000004750,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,68678.5,0.0
LANDSCAPE,76927,BRONZE FLEUR-DE-LIS CENTERPIECE,1000244005,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,73.0,0.0
PLYWOOD,215317,1/2 2X2 OKOUME VIROLA PLYWOOD,215317,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,74829.0,1091.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-10FT CEDAR PREMIUM S4S,351636,021-020-010-CEDAR,021-020-010,21-LUMBER,41673.0,3773.0
OUTDOOR RECREATION,406723,6' DELUXE WD PICNIC TABLE W/PT LEGS,1005143506,021-018-002-KITS,021-018-002,21-LUMBER,29962.0,2074.0
BOARDS,UNKNOWN,2X8-16FT PRIMED SPF COMBED FASCIA,696199,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,86351.0,2354.0
FENCING,278956,2 X 4-12' PREM WRC S4S STAINED,1002263974,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,1462.0,1.0
BOARDS,436812,1 IN. X 6 IN. X 8 FT. ENGINEERED CED,1005901314,021-005-005-CEDAR,021-005-005,21-LUMBER,153.0,
PLYWOOD,237649,1/2 IN. X 1-1/2 FT. MDF ROUND BOARD,1001713578,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,13.0,
PRESSURE TREATED/DECKING,147856,4 IN. X 4 IN. VINYL TIFFANY-STYLE SO,1001862085,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,37.0,
LANDSCAPE,79979,0.75 IN. X 2 IN. X 8 FT. ALMOND PLAS,1001798596,021-007-002-LATTICE,021-007-002,21-LUMBER,1089.0,
BOARDS,325825,1 IN. X 8 IN. X 8 FT. BARN WOOD GRAY,1003521502,021-005-010-HARDWOOD,021-005-010,21-LUMBER,3135.0,
BOARDS,311341,1 IN. X 6 IN. X 8 FT. CANYON BROWN C,1003009784,021-005-010-HARDWOOD,021-005-010,21-LUMBER,216.0,
PLYWOOD,237635,3/4 IN. X 3 FT. SANDE PLYWOOD ROUND,1001713572,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,25.0,
BOARDS,UNKNOWN,"3/4""X6-1/2""X22-1/2"" VNTD FRIEZE BRD",430552,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,70007.05,6296.0
FENCING,144716,PRO SERIES 6 FT. X 4 FT. WOODBRIDGE,1000342011,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,237.0,0.0
FENCING,116087,"4""X4"" VERANDA WHT VNL GOTH POST TOP",1000342562,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,,0.0
FENCING,UNKNOWN,"1/2""X5-1/2""X6' PT PINE ECON DE PCKT",460512,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,2251560.0,23582.0
BOARDS,UNKNOWN,1X6-12 BARN WOOD BROWN SHIPLAP,1001860786,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,124736.5,5.0
FENCING,UNKNOWN,WHT VNL HURRICANE FNCE BRCKT KIT 2PK,458037,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,0.0
FENCING,118664,PRO SERIES 4 FT. X 6 FT. VINYL LAFAY,1000342204,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1092.0,0.0
PLYWOOD,209880,1/2 4X4 OKOUME VIROLA PLYWOOD,209880,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,14004.0,340.0
FENCING,169113,5 IN. X 5 IN. X 7 FT. VINYL BLACK RA,1000099748,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,26.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,4X6-12FT #2 PT GC,260430,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,1127134.7000000002,24761.0
LANDSCAPE,465000,"1X3-36"" GRADE STAKES 12PC BUNDLE",465000,021-007-004-STAKES,021-007-004,21-LUMBER,822307.96,12651.0
BOARDS,UNKNOWN,2X6-16FT PRIMED SPF COMBED FASCIA,696170,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,118669.0,3028.0
STUDS,UNKNOWN,"2X4-104 5/8"" PRIME KD WHITEWOOD STUD",832150,021-006-007-9FT-10FT STUDS,021-006-007,21-LUMBER,13277.0,444.0
PRESSURE TREATED/DECKING,UNKNOWN,1X6-8FT PT WEATHERSHIELD,261602,021-020-006-PT BOARDS,021-020-006,21-LUMBER,141.0,
LANDSCAPE,328812,"1/2"" 4X8 PRIV RED PT LATTICE",1003227289,021-007-002-LATTICE,021-007-002,21-LUMBER,7465.0,1070.0
FENCING,181976,41-1/2 IN. X 68-1/2 IN. SINGLE WALK,1000099510,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1154.0,0.0
FENCING,UNKNOWN,DIS 6'X8' WW STOCKADE PRIVACY PNL,1001250400,021-008-018-EVENTS,021-008-018,21-LUMBER,54.0,0.0
GYPSUM,152624,QUICK-SET 90 MIN 25 LB BAG,341356,022-012-003-JOINT TREATMENT,022-012-003,22-BUILDING MATERIALS,765.0,0.0
BOARDS,418926,".75"" X 3.5"" X 144"" PFJ EG CEDAR TRIM",1005490293,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,5548.0,1331.0
PLYWOOD,404828,3/8 2X4 RIGID PLASTIC BOARD,1005535143,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,2798.0,1329.0
LANDSCAPE,138656,8 IN. X 8 IN. VINYL PYRAMID NEW ENGL,1000244167,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,144.0,0.0
GYPSUM,UNKNOWN,USG EZ SAND 20MIN 18 LB BAG,462910,022-012-003-JOINT TREATMENT,022-012-003,22-BUILDING MATERIALS,17007.0,
LANDSCAPE,132495,4 IN. X 4 IN. VINYL SOLAR LIGHT PEAR,1000244289,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,64.0,
FENCING,414076,6 FT X 6 FT COMPOSITE 4-RAIL RANCH R,1005659458,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,0.0,
FENCING,371877,3/4 IN. X 4 IN. X 42 IN. PRESSURE TR,1004405271,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,366.0,
LANDSCAPE,UNKNOWN,DLVRD RDWD RAILING CONNECTOR 2PK,1000019507,021-007-006-SPECIALTY,021-007-006,21-LUMBER,,
FENCING,153818,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344844,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,16.0,
